id;productName;ProductCategoriaName;productDateTime;productPrice;productMassa;productRashod;ShopName;ProductDiscont;productUnit;CategoriaShopping
119;Алтын Балапан 0.9 кг;Пельмени;28.01.2022;1020.0;1.0;1020.0;Акнар,Темиртау,м-он 6;0.0;шт;Продукты
120;Любимые с сыром;Пельмени;28.01.2022;1190.0;1.0;1190.0;Акнар,Темиртау,м-он 6;0.0;шт;Продукты
121;с капустой 0.45кг Акнар;Вареники;28.01.2022;350.0;1.0;350.0;Акнар,Темиртау,м-он 6;0.0;шт;Продукты
122;Докторская ГОСТ ;Колбаса;28.01.2022;2385.0;678.0;161703.0;Акнар,Темиртау,пр Республики 6б;0.0;шт;Продукты
123;куринный охл Акнар;Фарш;28.01.2022;1760.0;3292.0;579392.0;Акнар,Темиртау,пр Республики 6б;0.0;кг;Продукты
124;слоенно дрожевое 0.9 кг;Тесто;04.02.2022;680.0;1.0;680.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
125;Докторская ГОСТ;Колбаса;04.02.2022;2385.0;662.0;157887.0;Акнар,Темиртау,6 м-он;0.0;кг;Продукты
126;Прослойка по домашнему;Сало;04.02.2022;2200.0;178.0;3916.0;Акнар,Темиртау,6 м-он;0.0;кг;Продукты
127;Шея копченая;Мясо;04.02.2022;2900.0;342.0;9918.0;Акнар,Темиртау,6 м-он;0.0;кг;Продукты
128;"майка ""Акнар""";Пакет;04.02.2022;10.0;1.0;10.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
129;"майка ""Акнар""";Пакет;04.02.2022;10.0;2.0;20.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
130;куриный Охл;Фарш;04.02.2022;1620.0;2278.0;369036.0;Акнар,Темиртау,6 м-он;0.0;кг;Продукты
131;слоеное дрожевое 0.9 кг;Тесто;04.02.2022;680.0;1.0;680.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
132;Русская в синюге;Колбаса;04.02.2022;2065.0;536.0;110684.0;Акнар,Темиртау,6 м-он;0.0;кг;Продукты
133;Окорочек тушки охл Акнар;Курица;04.02.2022;1040.0;9.0;936.0;Акнар,Темиртау,6 м-он;0.0;кг;Продукты
134;Докторская ГОСТ;Колбаса;04.02.2022;2385.0;688.0;164088.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
135;Грудная часть тушки охл Акнар;Курица;04.02.2022;1400.0;1332.0;18648.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
136;Каспийские 0.9;Манты;04.02.2022;1360.0;1.0;1360.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
137;Сочные 0.9кг;Пельмени;04.02.2022;1350.0;1.0;1350.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
138;Арман 0.9кг;Пельмени;04.02.2022;1340.0;1.0;1340.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
139;с капустой 0.45 кг;Вареники;04.02.2022;350.0;1.0;350.0;Акнар,Темиртау,6 м-он;0.0;шт;Продукты
